trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/water,resources_Water_Consumption,resources_Crops,resources_intensity
6770,2019,US,US,FABRI,MOTO1,55999.06,1038142.576,66.0,66.0,124022.659,914119.917,914119.917,513932.494,18.538571
16593,2019,US,US,REALE,WHOLE,61763.42,1023266.576,66.0,66.0,68535.256,954731.32,954731.32,438742.794,16.567518
15342,2019,US,US,POSTT,WHOLE,55149.39,1013894.532,66.0,66.0,128921.019,884973.513,884973.513,502548.688,18.38451
6707,2019,US,US,FABRI,CONST,60479.25,1006296.001,66.0,66.0,208121.664,798174.337,798174.337,500406.096,16.638698
2317,2019,US,US,BUSIN,RESEA,63456.16,1005466.308,66.0,66.0,56133.216,949333.092,949333.092,441078.394,15.845054
9073,2019,US,US,HOTEL,BUSIN,50415.44,974653.93,66.0,66.0,185588.48,789065.449,789065.449,529259.708,19.332449
18955,2019,US,US,SUPPO,WHOLE,50096.32,972696.564,66.0,66.0,201813.467,770883.097,770883.097,512777.551,19.416527
16822,2019,US,US,RENTI,BUSIN,46880.05,970514.169,66.0,66.0,204023.057,766491.112,766491.112,508706.785,20.702072
6918,2019,US,US,FINAN,HEALT,43783.28,963874.694,66.0,66.0,214431.686,749443.008,749443.008,538153.014,22.014675
2313,2019,US,US,BUSIN,RECRE,45694.0,960681.472,66.0,66.0,230205.288,730476.183,730476.183,523190.441,21.024237
20945,2019,US,US,WHOLE,PUBLI,47229.24,911412.015,66.0,66.0,196737.895,714674.12,714674.12,493726.344,19.297622
21484,2019,US,US,WOODW,WOODW,52443.13,902345.561,66.0,66.0,130974.259,771371.302,771371.302,466112.674,17.206173
4540,2019,US,US,DISTR,REALE,45486.24,863268.454,66.0,66.0,203438.925,659829.529,659829.529,451698.678,18.978673
16464,2019,US,US,REALE,EDUCA,46342.75,853677.209,66.0,66.0,145589.73,708087.479,708087.479,425061.495,18.420944
8841,2019,US,US,HEALT,HEALT,45295.9,846375.685,66.0,66.0,110504.669,735871.016,735871.016,432115.341,18.685481
4038,2019,US,US,CRUDE,NATUR,28535.98,824038.258,66.0,66.0,382298.241,441740.017,441740.017,594530.083,28.877167
3386,2019,US,US,COMPU,HEALT,42545.29,816313.729,66.0,66.0,210022.314,606291.415,606291.415,444379.537,19.186935
20984,2019,US,US,WHOLE,WHOLE,46343.82,807841.042,66.0,66.0,133427.835,674413.208,674413.208,409908.751,17.431473
2301,2019,US,US,BUSIN,POSTT,39114.63,779638.186,66.0,66.0,156687.446,622950.741,622950.741,407822.54,19.932138
2434,2019,US,US,CEMEN,CONST,47580.97,760937.131,66.0,66.0,49356.013,711581.118,711581.118,329069.24,15.992468
20910,2019,US,US,WHOLE,MOTO1,41956.26,759054.632,66.0,66.0,110710.947,648343.685,648343.685,388669.578,18.09157
15298,2019,US,US,POSTT,POSTT,37189.6,741768.962,66.0,66.0,156542.935,585226.027,585226.027,387635.945,19.945602
20875,2019,US,US,WHOLE,FOOD5,38803.81,728200.59,66.0,66.0,110815.493,617385.097,617385.097,370808.89,18.766214
2229,2019,US,US,BUSIN,FABRI,34617.64,709261.557,66.0,66.0,121608.912,587652.644,587652.644,383722.838,20.488443
16616,2019,US,US,RECRE,BUSIN,35031.54,698132.085,66.0,66.0,151586.055,546546.03,546546.03,389990.882,19.928672
10375,2019,US,US,LANDT,PUBLI,35781.44,698023.483,66.0,66.0,119391.6,578631.883,578631.883,369523.117,19.507976
9189,2019,US,US,HOTEL,REALE,36025.72,695296.993,66.0,66.0,106770.87,588526.123,588526.123,357419.978,19.300017
10976,2019,US,US,MACHI,CONST,34681.66,661788.346,66.0,66.0,103096.62,558691.726,558691.726,334355.566,19.081796
1130,2019,US,US,BASIC,FABRI,34094.86,658290.42,66.0,66.0,94077.221,564213.2,564213.2,312430.219,19.307615
10275,2019,US,US,LANDT,CONST,35399.13,652629.034,66.0,66.0,144187.882,508441.152,508441.152,398745.112,18.436302
15304,2019,US,US,POSTT,PUBLI,38265.07,644940.647,66.0,66.0,64354.79,580585.857,580585.857,301677.492,16.854553
7777,2019,US,US,FOOD5,HOTEL,13698.52,641080.915,66.0,66.0,26371.95,614708.965,614708.965,329971.727,46.799283
15228,2019,US,US,POSTT,FINAN,34310.95,640141.253,66.0,66.0,66979.44,573161.813,573161.813,283175.066,18.657054
12188,2019,US,US,MOTOR,EDUCA,32166.45,638302.686,66.0,66.0,102079.664,536223.021,536223.021,301692.437,19.84374
7729,2019,US,US,FOOD5,BEVER,13022.7,633507.179,66.0,66.0,63124.449,570382.73,570382.73,290547.343,48.646377
2237,2019,US,US,BUSIN,FOOD5,30957.81,625586.423,66.0,66.0,120738.854,504847.569,504847.569,345486.479,20.207709
20831,2019,US,US,WHOLE,BUSIN,31880.22,625524.04,66.0,66.0,109118.245,516405.796,516405.796,316182.156,19.62107
2709,2019,US,US,CEREA,FOOD5,42258.64,622764.077,66.0,66.0,68576.726,554187.35,554187.35,316676.845,14.736964
15243,2019,US,US,POSTT,HEALT,39862.08,621850.064,66.0,66.0,84692.811,537157.253,537157.253,302193.998,15.600041
16349,2019,US,US,RAWMI,DAIRY,35145.02,621114.511,66.0,66.0,112661.354,508453.157,508453.157,334228.555,17.672902
2859,2019,US,US,CHEM1,HEALT,29581.41,614441.119,66.0,66.0,105441.292,508999.828,508999.828,319840.734,20.771191
2386,2019,US,US,CATTL,MEATC,31358.71,599072.6,66.0,66.0,90101.127,508971.473,508971.473,318251.368,19.103866
20021,2019,US,US,TRANS,TRANS,33629.06,590537.83,66.0,66.0,108453.29,482084.54,482084.54,303640.454,17.560343
2215,2019,US,US,BUSIN,EDUCA,28740.48,585841.086,66.0,66.0,135256.407,450584.68,450584.68,320268.783,20.383831
6979,2019,US,US,FINAN,PUBLI,34069.05,578626.093,66.0,66.0,116692.581,461933.513,461933.513,320769.329,16.983922
20867,2019,US,US,WHOLE,FABRI,28015.98,576527.651,66.0,66.0,77043.95,499483.701,499483.701,271232.711,20.578529
2316,2019,US,US,BUSIN,RENTI,31488.24,574056.973,66.0,66.0,62722.734,511334.239,511334.239,291318.426,18.230837
8334,2019,US,US,FURNI,CONST,28748.4,565814.642,66.0,66.0,93550.713,472263.928,472263.928,287027.81,19.681605
3371,2019,US,US,COMPU,FINAN,31320.36,565201.007,66.0,66.0,72220.553,492980.453,492980.453,266076.492,18.045802
10283,2019,US,US,LANDT,EDUCA,30015.97,563860.135,66.0,66.0,141401.677,422458.458,422458.458,326445.173,18.785338
7822,2019,US,US,FOOD5,POULT,11372.66,556820.788,66.0,66.0,28300.981,528519.807,528519.807,236074.933,48.96135
16555,2019,US,US,REALE,PUBLI,30504.68,553405.483,66.0,66.0,114915.087,438490.396,438490.396,294911.168,18.141658
6729,2019,US,US,FABRI,FABRI,31506.36,544616.124,66.0,66.0,58975.147,485640.977,485640.977,276879.109,17.285911
10313,2019,US,US,LANDT,HEALT,26965.93,543116.746,66.0,66.0,123680.458,419436.289,419436.289,302972.948,20.14085
14565,2019,US,US,PFERT,PFERT,27262.91,525366.379,66.0,66.0,109457.886,415908.494,415908.494,284685.529,19.270371
16520,2019,US,US,REALE,MEMBE,29308.92,519152.797,66.0,66.0,64478.761,454674.036,454674.036,253872.755,17.713133
15630,2019,US,US,PRINT,BUSIN,25319.12,507862.261,66.0,66.0,79443.472,428418.789,428418.789,275460.066,20.058448
6987,2019,US,US,FINAN,RENTI,28475.69,503674.642,66.0,66.0,91500.346,412174.296,412174.296,260532.191,17.687882
19994,2019,US,US,TRANS,PUBLI,27016.11,494442.723,66.0,66.0,89618.45,404824.273,404824.273,281449.199,18.301773
6944,2019,US,US,FINAN,MEMBE,27034.61,493746.913,66.0,66.0,72362.955,421383.959,421383.959,249743.81,18.263512
3347,2019,US,US,COMPU,COMPU,27637.92,492465.989,66.0,66.0,44857.011,447608.978,447608.978,235526.756,17.81849
16972,2019,US,US,RENTI,WHOLE,23324.85,484065.742,66.0,66.0,95578.806,388486.936,388486.936,242876.609,20.75322
16561,2019,US,US,REALE,RECRE,27681.43,483130.914,66.0,66.0,58713.494,424417.42,424417.42,259038.442,17.45325
2272,2019,US,US,BUSIN,MOTO1,24160.34,481287.166,66.0,66.0,93430.758,387856.408,387856.408,222565.561,19.920546
10261,2019,US,US,LANDT,BUSIN,25967.89,478185.741,66.0,66.0,85993.26,392192.481,392192.481,246850.782,18.414501
