trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
33995,2019,AU,PL,BITUM,ELEC1,148.42,36343022.182,1.0,1.0,36343022.182,36343022.182,36343022.182,244866.070489
42292,2019,AU,WA,BITUM,MEDIC,145.51,35628209.629,1.0,1.0,35628209.629,35628209.629,35628209.629,244850.591911
52959,2019,AU,WL,BITUM,CHEM1,139.12,34064205.778,1.0,1.0,34064205.778,34064205.778,34064205.778,244854.843143
4711,2019,AU,CN,BITUM,COKEO,138.45,33901479.063,1.0,1.0,33901479.063,33901479.063,33901479.063,244864.420823
4735,2019,AU,CN,BITUM,GASWO,133.21,32616779.739,1.0,1.0,32616779.739,32616779.739,32616779.739,244852.336454
4765,2019,AU,CN,BITUM,PLAST,130.54,31963429.658,1.0,1.0,31963429.658,31963429.658,31963429.658,244855.443987
4774,2019,AU,CN,BITUM,REALE,128.69,31511647.565,1.0,1.0,31511647.565,31511647.565,31511647.565,244864.772438
26725,2019,AU,JP,PRECI,PREC1,177.0,30306320.845,1.0,1.0,30306320.845,30306320.845,30306320.845,171222.151667
12108,2019,AU,ES,BITUM,ELEC1,118.05,28904977.855,1.0,1.0,28904977.855,28904977.855,28904977.855,244853.687886
21247,2019,AU,IN,BITUM,COKIN,109.48,26807332.698,1.0,1.0,26807332.698,26807332.698,26807332.698,244860.547114
21414,2019,AU,IN,COKIN,BASIC,140.54,26570639.305,1.0,1.0,26570639.305,26570639.305,26570639.305,189061.04529
58642,2019,AU,ZA,BITUM,HYDRO,101.2,24779438.622,1.0,1.0,24779438.622,24779438.622,24779438.622,244856.112866
43028,2019,AU,WA,COKIN,COKEO,128.84,24359146.327,1.0,1.0,24359146.327,24359146.327,24359146.327,189065.09102
58656,2019,AU,ZA,BITUM,PFERT,98.84,24201241.645,1.0,1.0,24201241.645,24201241.645,24201241.645,244852.707861
24492,2019,AU,JP,BITUM,HOTEL,97.96,23986680.527,1.0,1.0,23986680.527,23986680.527,23986680.527,244861.989863
42213,2019,AU,WA,BITUM,ALUM1,88.94,21778475.036,1.0,1.0,21778475.036,21778475.036,21778475.036,244867.045604
4715,2019,AU,CN,BITUM,CRUDE,88.03,21554771.757,1.0,1.0,21554771.757,21554771.757,21554771.757,244857.114132
4708,2019,AU,CN,BITUM,CHEM1,87.78,21494270.303,1.0,1.0,21494270.303,21494270.303,21494270.303,244865.234712
37814,2019,AU,TR,BITUM,ELEC1,87.57,21441470.501,1.0,1.0,21441470.501,21441470.501,21441470.501,244849.497556
4728,2019,AU,CN,BITUM,ELECT,85.81,21012287.726,1.0,1.0,21012287.726,21012287.726,21012287.726,244869.918727
28254,2019,AU,KR,BITUM,NONME,83.96,20558856.938,1.0,1.0,20558856.938,20558856.938,20558856.938,244864.899214
22676,2019,AU,IT,BITUM,LEAD1,83.4,20420583.844,1.0,1.0,20420583.844,20420583.844,20420583.844,244851.125228
16456,2019,AU,GB,BITUM,ELEC1,82.99,20320074.45,1.0,1.0,20320074.45,20320074.45,20320074.45,244849.674057
36267,2019,AU,SE,BITUM,FABRI,81.69,20002799.703,1.0,1.0,20002799.703,20002799.703,20002799.703,244862.28061
4793,2019,AU,CN,BITUM,WOODW,81.05,19846871.298,1.0,1.0,19846871.298,19846871.298,19846871.298,244871.946922
