trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
14890,2019,RU,CN,OILSE,FOOD5,376.38,0,0
54722,2019,RU,LT,CRUDE,MOTOR,376.24,0,0
80494,2019,RU,TW,HOTEL,RESEA,375.65,0,0
20749,2019,RU,DE,CRUDE,HEAVY,375.59,0,0
61578,2019,RU,NL,CRUDE,CONST,375.22,0,0
61572,2019,RU,NL,CRUDE,CHEM1,373.8,0,0
13449,2019,RU,CN,FORES,PAPER,372.9,0,0
12608,2019,RU,CN,CRUDE,PARAF,372.72,0,0
85308,2019,RU,WA,CRUDE,MOTOR,371.75,0,0
85298,2019,RU,WA,CRUDE,GASDI,365.25,0,0
15183,2019,RU,CN,PLAST,RUBBE,361.02,0,0
14722,2019,RU,CN,NONF1,ELECT,360.59,0,0
105836,2019,RU,WM,GASDI,MEDIC,360.41,0,0
82603,2019,RU,US,NAPHT,RESEA,355.37,0,0
59871,2019,RU,MT,HEAVY,RETA1,351.81,0,0
97361,2019,RU,WF,BASIC,CONST,349.15,0,0
81282,2019,RU,US,BASIC,FABRI,346.35,0,0
14723,2019,RU,CN,NONF1,FABRI,342.45,0,0
81684,2019,RU,US,CRUDE,CHEM1,337.1,0,0
81264,2019,RU,US,BASIC,BASIC,336.94,0,0
29552,2019,RU,FI,CHEM1,PLAST,333.65,0,0
84773,2019,RU,WA,CHEM1,FABRI,328.33,0,0
84896,2019,RU,WA,COKEO,LEAD1,327.68,0,0
75345,2019,RU,SK,CRUDE,MOTOR,327.61,0,0
12510,2019,RU,CN,COPP1,ELECT,327.26,0,0
12027,2019,RU,CN,BITUM,BLAST,325.4,0,0
20664,2019,RU,DE,COPP1,COPP1,323.66,0,0
5452,2019,RU,BG,CRUDE,GASDI,320.87,0,0
60217,2019,RU,MX,BASIC,MOTO1,320.63,0,0
11917,2019,RU,CN,BASIC,CONST,319.76,0,0
85301,2019,RU,WA,CRUDE,KEROS,317.05,0,0
62161,2019,RU,NL,HEAVY,MOTOR,315.03,0,0
52487,2019,RU,KR,CRUDE,HEAVY,314.23,0,0
18695,2019,RU,CZ,NATUR,STEAM,312.56,0,0
49902,2019,RU,JP,CRUDE,KEROS,312.39,0,0
70213,2019,RU,RO,CRUDE,CRUDE,310.53,0,0
15478,2019,RU,CN,PULP5,PAPER,310.12,0,0
88080,2019,RU,WA,NATUR,MEDIC,307.07,0,0
20107,2019,RU,DE,BITUM,STEAM,304.17,0,0
91641,2019,RU,WE,BASIC,FABRI,301.37,0,0
15460,2019,RU,CN,PULP5,FURNI,300.35,0,0
83939,2019,RU,WA,BASIC,FURNI,297.97,0,0
78207,2019,RU,TR,HEAVY,GASDI,292.75,0,0
89149,2019,RU,WA,PREC1,PREC1,292.3,0,0
75761,2019,RU,SK,NATUR,ELEC2,291.37,0,0
80165,2019,RU,TW,AIRTR,POSTT,289.05,0,0
83981,2019,RU,WA,BASIC,OFFIC,285.86,0,0
35762,2019,RU,GB,CRUDE,CRUDE,285.39,0,0
62626,2019,RU,NL,NAPHT,MOTOR,283.45,0,0
22284,2019,RU,DE,NONF1,NONF1,281.76,0,0
91127,2019,RU,WA,WHEAT,PRINT,280.84,0,0
92519,2019,RU,WE,CRUDE,KEROS,278.7,0,0
2844,2019,RU,BE,BASIC,CONST,278.11,0,0
92865,2019,RU,WE,FABRI,CONST,275.74,0,0
94729,2019,RU,WE,NATUR,BASIC,272.37,0,0
86372,2019,RU,WA,GASDI,SALEM,271.39,0,0
96140,2019,RU,WE,RUBBE,CONST,270.93,0,0
98495,2019,RU,WF,HEAVY,FURNI,269.41,0,0
12310,2019,RU,CN,CHEM1,PLAST,268.02,0,0
15495,2019,RU,CN,PULP5,WOODW,266.75,0,0
84825,2019,RU,WA,CHEM1,PAPER,266.26,0,0
44861,2019,RU,IN,CRUDE,MOTOR,266.24,0,0
88898,2019,RU,WA,PLAST,LEATH,264.71,0,0
14694,2019,RU,CN,NONF1,BASIC,261.73,0,0
16147,2019,RU,CN,VEGE1,PIGS9,258.89,0,0
53357,2019,RU,KR,NAPHT,PLAST,258.67,0,0
59876,2019,RU,MT,HEAVY,WHOLE,257.32,0,0
60191,2019,RU,MX,BASIC,FABRI,257.06,0,0
5460,2019,RU,BG,CRUDE,MOTOR,256.26,0,0
51704,2019,RU,JP,WOODW,WOODW,255.21,0,0
49900,2019,RU,JP,CRUDE,HEAVY,253.42,0,0
98355,2019,RU,WF,GASDI,FURNI,252.39,0,0
11784,2019,RU,CN,ANTHR,CEMEN,252.26,0,0
40781,2019,RU,HU,CRUDE,GASDI,250.73,0,0
36272,2019,RU,GB,HEAVY,FURNI,250.7,0,0
91833,2019,RU,WE,BITUM,ELEC1,250.64,0,0
92522,2019,RU,WE,CRUDE,LIQUE,250.2,0,0
77611,2019,RU,TR,CRUDE,MOTOR,247.3,0,0
97507,2019,RU,WF,BITUM,ELEC1,245.39,0,0
14655,2019,RU,CN,NATU1,PLAST,244.92,0,0
20135,2019,RU,DE,BUSIN,BUSIN,243.95,0,0
41619,2019,RU,HU,NATUR,PLAST,243.7,0,0
18662,2019,RU,CZ,NATUR,NFERT,242.52,0,0
76757,2019,RU,TR,BASIC,FABRI,242.11,0,0
61318,2019,RU,NL,CHEM1,HEALT,241.67,0,0
66286,2019,RU,PL,CRUDE,HEAVY,241.37,0,0
78874,2019,RU,TR,NAPHT,ELEC1,241.35,0,0
26599,2019,RU,EE,PFERT,COMPU,239.38,0,0
12609,2019,RU,CN,CRUDE,PETRO,237.65,0,0
44461,2019,RU,IN,BITUM,BASIC,234.77,0,0
75786,2019,RU,SK,NATUR,MEAT1,234.45,0,0
52998,2019,RU,KR,HEAVY,STEAM,229.42,0,0
52501,2019,RU,KR,CRUDE,PLAST,229.33,0,0
90741,2019,RU,WA,TRANS,RAILW,227.18,0,0
86273,2019,RU,WA,GASDI,CRUDE,226.2,0,0
14255,2019,RU,CN,MEAT1,MEAT1,225.26,0,0
76765,2019,RU,TR,BASIC,FURNI,224.63,0,0
75327,2019,RU,SK,CRUDE,BLAST,221.13,0,0
66290,2019,RU,PL,CRUDE,KEROS,220.58,0,0
93124,2019,RU,WE,FOOD5,BEVER,219.34,0,0
22197,2019,RU,DE,NAPHT,PLAST,216.1,0,0
20774,2019,RU,DE,CRUDE,WHOLE,215.09,0,0
2831,2019,RU,BE,BASIC,BASIC,214.76,0,0
61611,2019,RU,NL,CRUDE,HEAVY,214.11,0,0
95409,2019,RU,WE,PFERT,WEARI,213.21,0,0
14735,2019,RU,CN,NONF1,MACHI,213.14,0,0
58436,2019,RU,LV,HEAVY,REALE,213.08,0,0
95170,2019,RU,WE,PAPER,FOOD5,212.16,0,0
