trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
67899,2019,JP,US,RUBBE,PUBLI,217.41,0,0
17607,2019,JP,CN,RUBBE,CHEM1,216.26,0,0
64888,2019,JP,US,ALUM1,ALUM1,215.09,0,0
69690,2019,JP,WA,BUSIN,REALE,213.97,0,0
14329,2019,JP,CN,ELECT,ELEC4,213.6,0,0
75720,2019,JP,WA,SEACO,PIGS9,213.56,0,0
35027,2019,JP,ID,BASIC,MACHI,213.35,0,0
67909,2019,JP,US,RUBBE,RUBBE,213.14,0,0
39032,2019,JP,IN,CHEM1,RUBBE,212.78,0,0
84264,2019,JP,WM,MOTO1,POSTT,212.07,0,0
17186,2019,JP,CN,PULP5,WOODW,211.59,0,0
51202,2019,JP,NL,CHEM1,HEALT,211.01,0,0
63572,2019,JP,TW,HOTEL,EDUCA,210.87,0,0
13766,2019,JP,CN,CHEM1,PUBLI,210.39,0,0
17255,2019,JP,CN,RADIO,MOTO1,209.84,0,0
14421,2019,JP,CN,FABRI,BASIC,209.75,0,0
65856,2019,JP,US,FABRI,MOTO1,208.82,0,0
44996,2019,JP,KR,GLASS,GLASS,208.4,0,0
39350,2019,JP,IN,FABRI,CONST,207.9,0,0
53126,2019,JP,NO,BASIC,MOTO1,206.83,0,0
13602,2019,JP,CN,BUSIN,WHOLE,205.96,0,0
65182,2019,JP,US,BUSIN,FINAN,203.97,0,0
15940,2019,JP,CN,MEDIC,TRANS,203.57,0,0
17914,2019,JP,CN,SEACO,SUPPO,203.32,0,0
46897,2019,JP,KR,RUBBE,OFFIC,201.55,0,0
63594,2019,JP,TW,HOTEL,LANDT,201.49,0,0
48055,2019,JP,LU,MOTO1,FINAN,201.39,0,0
73041,2019,JP,WA,MEDIC,RETA1,201.38,0,0
70901,2019,JP,WA,ELECT,REALE,199.31,0,0
69619,2019,JP,WA,BUSIN,CONST,198.7,0,0
69372,2019,JP,WA,BASIC,NATUR,197.99,0,0
13711,2019,JP,CN,CHEM1,FURNI,197.85,0,0
35302,2019,JP,ID,CHEM1,RUBBE,196.6,0,0
67399,2019,JP,US,RADIO,COMPU,194.93,0,0
63329,2019,JP,TW,BUSIN,WEARI,194.29,0,0
20473,2019,JP,DE,CHEM1,CHEM1,193.84,0,0
65617,2019,JP,US,COPP1,ELECT,193.73,0,0
16543,2019,JP,CN,PAPER,EDUCA,193.12,0,0
30573,2019,JP,GB,BUSIN,BUSIN,192.93,0,0
82344,2019,JP,WL,TRANS,TOBAC,192.58,0,0
17833,2019,JP,CN,SEACO,BUSIN,191.75,0,0
44316,2019,JP,KR,ELECT,MOTO1,191.72,0,0
76220,2019,JP,WA,TRANS,93197,190.82,0,0
84306,2019,JP,WM,MOTO1,WHOLE,190.8,0,0
68199,2019,JP,US,SEACO,WOODW,190.57,0,0
45919,2019,JP,KR,NONME,CONST,190.37,0,0
14396,2019,JP,CN,ELECT,RESEA,190.24,0,0
13692,2019,JP,CN,CHEM1,EDUCA,187.77,0,0
17897,2019,JP,CN,SEACO,PUBLI,185.87,0,0
14400,2019,JP,CN,ELECT,SALEM,185.71,0,0
63264,2019,JP,TW,BUSIN,FINAN,184.69,0,0
15839,2019,JP,CN,MEDIC,CERAM,184.66,0,0
30193,2019,JP,FR,TRANS,TRANS,183.56,0,0
48785,2019,JP,MX,BASIC,CONST,183.19,0,0
17908,2019,JP,CN,SEACO,RUBBE,181.8,0,0
17276,2019,JP,CN,RADIO,PUBLI,181.48,0,0
63256,2019,JP,TW,BUSIN,EDUCA,180.8,0,0
17866,2019,JP,CN,SEACO,FURNI,179.33,0,0
64570,2019,JP,TW,SEACO,POSTT,179.05,0,0
