trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
16045,2022,WM,WM,SANDC,PRIVA,15.58,29293515.139,1.0,1.0,29293515.139,29293515.139,29293515.139,1880199.944737
10538,2022,WM,WM,NATUR,WOODW,54.42,29269746.428,1.0,1.0,29269746.428,29269746.428,29269746.428,537849.070709
16041,2022,WM,WM,SANDC,POSTT,15.53,29195351.295,1.0,1.0,29195351.295,29195351.295,29195351.295,1879932.472312
16074,2022,WM,WM,SANDC,TRANS,15.04,28282326.878,1.0,1.0,28282326.878,28282326.878,28282326.878,1880473.861569
10509,2022,WM,WM,NATUR,RENTI,52.09,28014662.332,1.0,1.0,28014662.332,28014662.332,28014662.332,537812.676752
10462,2022,WM,WM,NATUR,MEATA,50.79,27316923.565,1.0,1.0,27316923.565,27316923.565,27316923.565,537840.589978
16019,2022,WM,WM,SANDC,NATUR,14.49,27248849.767,1.0,1.0,27248849.767,27248849.767,27248849.767,1880527.934231
10390,2022,WM,WM,NATUR,93197,46.84,25194040.465,1.0,1.0,25194040.465,25194040.465,25194040.465,537874.476196
16011,2022,WM,WM,SANDC,MEATC,12.94,24326001.358,1.0,1.0,24326001.358,24326001.358,24326001.358,1879907.369243
15978,2022,WM,WM,SANDC,FABRI,12.74,23950611.646,1.0,1.0,23950611.646,23950611.646,23950611.646,1879953.818367
16048,2022,WM,WM,SANDC,PULP5,12.63,23749059.426,1.0,1.0,23749059.426,23749059.426,23749059.426,1880368.91734
15937,2022,WM,WM,SANDC,AIRTR,11.44,21507585.883,1.0,1.0,21507585.883,21507585.883,21507585.883,1880033.731031
10472,2022,WM,WM,NATUR,NFERT,39.76,21382721.724,1.0,1.0,21382721.724,21382721.724,21382721.724,537794.811972
15942,2022,WM,WM,SANDC,BASIC,11.37,21373531.307,1.0,1.0,21373531.307,21373531.307,21373531.307,1879818.056904
16003,2022,WM,WM,SANDC,LANDT,11.27,21198477.144,1.0,1.0,21198477.144,21198477.144,21198477.144,1880965.141437
16076,2022,WM,WM,SANDC,VEGET,11.1,20875122.102,1.0,1.0,20875122.102,20875122.102,20875122.102,1880641.630811
15999,2022,WM,WM,SANDC,INSUR,11.06,20793299.909,1.0,1.0,20793299.909,20793299.909,20793299.909,1880045.199729
10504,2022,WM,WM,NATUR,RAWMI,38.48,20697393.778,1.0,1.0,20697393.778,20697393.778,20697393.778,537874.05868
15989,2022,WM,WM,SANDC,FOUND,10.9,20503180.922,1.0,1.0,20503180.922,20503180.922,20503180.922,1881025.772661
15998,2022,WM,WM,SANDC,INLAN,10.62,19976835.423,1.0,1.0,19976835.423,19976835.423,19976835.423,1881057.949435
16073,2022,WM,WM,SANDC,TRAN2,10.44,19626557.559,1.0,1.0,19626557.559,19626557.559,19626557.559,1879938.463506
10402,2022,WM,WM,NATUR,BUSIN,36.3,19522152.373,1.0,1.0,19522152.373,19522152.373,19522152.373,537800.340854
10498,2022,WM,WM,NATUR,PRIVA,35.42,19048301.911,1.0,1.0,19048301.911,19048301.911,19048301.911,537783.791954
16024,2022,WM,WM,SANDC,OFFIC,9.92,18656588.216,1.0,1.0,18656588.216,18656588.216,18656588.216,1880704.457258
15940,2022,WM,WM,SANDC,AUXIL,9.81,18451879.055,1.0,1.0,18451879.055,18451879.055,18451879.055,1880925.489806
16529,2022,WM,WM,STONE,93197,51.48,17996428.353,1.0,1.0,17996428.353,17996428.353,17996428.353,349580.970338
16557,2022,WM,WM,STONE,CRUDE,51.05,17846831.398,1.0,1.0,17846831.398,17846831.398,17846831.398,349595.130225
10525,2022,WM,WM,NATUR,TEXTI,32.43,17440028.484,1.0,1.0,17440028.484,17440028.484,17440028.484,537774.544681
15980,2022,WM,WM,SANDC,FISH5,9.24,17370214.008,1.0,1.0,17370214.008,17370214.008,17370214.008,1879893.290909
15990,2022,WM,WM,SANDC,FURNI,9.18,17252591.855,1.0,1.0,17252591.855,17252591.855,17252591.855,1879367.304466
16078,2022,WM,WM,SANDC,WEARI,8.88,16693700.864,1.0,1.0,16693700.864,16693700.864,16693700.864,1879921.268468
15965,2022,WM,WM,SANDC,DAIRY,8.87,16680978.694,1.0,1.0,16680978.694,16680978.694,16680978.694,1880606.391657
15979,2022,WM,WM,SANDC,FINAN,8.83,16606308.783,1.0,1.0,16606308.783,16606308.783,16606308.783,1880669.171348
16640,2022,WM,WM,STONE,PUBLI,47.38,16563223.576,1.0,1.0,16563223.576,16563223.576,16563223.576,349582.599747
16053,2022,WM,WM,SANDC,RECRE,8.71,16386987.58,1.0,1.0,16386987.58,16386987.58,16386987.58,1881399.262916
16561,2022,WM,WM,STONE,EDUCA,46.86,16384117.142,1.0,1.0,16384117.142,16384117.142,16384117.142,349639.717072
16009,2022,WM,WM,SANDC,MEAT4,8.58,16132375.114,1.0,1.0,16132375.114,16132375.114,16132375.114,1880230.199767
