trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
4486,2019,WM,WM,ELEC2,PFERT,334.8,147515734113.912,5.0,3.0,147515725677.461,0.0,8410.88,0.0,0.0,25.571,147515725677.461,25.571,0.0,8410.88,0.0,440608524.832473
4395,2019,WM,WM,ELEC2,CHEM1,318.18,140192626164.093,5.0,3.0,140192618146.453,0.0,7993.34,0.0,0.0,24.301,140192618146.453,24.301,0.0,7993.34,0.0,440607914.275231
4465,2019,WM,WM,ELEC2,MOTOR,311.49,137247751087.453,5.0,3.0,137247743238.231,0.0,7825.432,0.0,0.0,23.791,137247743238.231,23.791,0.0,7825.432,0.0,440616877.227047
10771,2019,WM,WM,MEDIC,RESEA,797.63,136482854312.847,3.0,2.0,136482849491.047,0.0,4821.8,0.0,0.0,0.0,136482849491.047,0.0,0.0,4821.8,0.0,171110482.696046
281,2019,WM,WM,AIRTR,SUPPO,1386.1,127768235598.009,1.0,1.0,127768235598.009,0.0,0.0,0.0,0.0,0.0,127768235598.009,0.0,0.0,0.0,0.0,92178223.503361
4375,2019,WM,WM,ELEC2,93197,276.98,122039930165.138,5.0,3.0,122039923185.654,0.0,6958.33,0.0,0.0,21.155,122039923185.654,21.155,0.0,6958.33,0.0,440609178.154156
4454,2019,WM,WM,ELEC2,LIQUE,276.6,121874768304.027,5.0,3.0,121874761333.987,0.0,6948.913,0.0,0.0,21.126,121874761333.987,21.126,0.0,6948.913,0.0,440617383.600965
10678,2019,WM,WM,MEDIC,CONST,688.32,117779540855.746,3.0,2.0,117779536694.715,0.0,4161.031,0.0,0.0,0.0,117779536694.715,0.0,0.0,4161.031,0.0,171111606.310649
4520,2019,WM,WM,ELEC2,SUPPO,263.91,116280697833.804,5.0,3.0,116280691183.691,0.0,6629.957,0.0,0.0,20.156,116280691183.691,20.156,0.0,6629.957,0.0,440607395.83117
4391,2019,WM,WM,ELEC2,CEMEN,261.7,115308408769.439,5.0,3.0,115308402174.931,0.0,6574.52,0.0,0.0,19.988,115308402174.931,19.988,0.0,6574.52,0.0,440612949.06167
4467,2019,WM,WM,ELEC2,NATU1,255.67,112651965585.168,5.0,3.0,112651959142.583,0.0,6423.058,0.0,0.0,19.527,112651959142.583,19.527,0.0,6423.058,0.0,440614720.480182
253,2019,WM,WM,AIRTR,POSTT,1116.0,102870942296.283,1.0,1.0,102870942296.283,0.0,0.0,0.0,0.0,0.0,102870942296.283,0.0,0.0,0.0,0.0,92178263.706347
4501,2019,WM,WM,ELEC2,RAILW,232.4,102397976382.225,5.0,3.0,102397970526.067,0.0,5838.408,0.0,0.0,17.75,102397970526.067,17.75,0.0,5838.408,0.0,440610913.864996
5060,2019,WM,WM,ELEC6,PUBLI,351.14,100507458475.311,4.0,2.0,100507454386.325,0.0,4088.986,0.0,0.0,0.0,100507454386.325,0.0,0.0,4088.986,0.0,286231868.984767
11319,2019,WM,WM,NATUR,NATU1,1334.36,95926912029.158,2.0,2.0,95206592247.552,0.0,0.0,0.0,720319781.605,0.0,95206592247.552,0.0,0.0,0.0,0.0,71889828.853651
4977,2019,WM,WM,ELEC6,EDUCA,324.62,92917861627.752,4.0,2.0,92917857847.537,0.0,3780.216,0.0,0.0,0.0,92917857847.537,0.0,0.0,3780.216,0.0,286235788.391818
11349,2019,WM,WM,NATUR,PUBLI,1246.11,89582595196.148,2.0,2.0,88909915193.818,0.0,0.0,0.0,672680002.33,0.0,88909915193.818,0.0,0.0,0.0,0.0,71889797.205823
163,2019,WM,WM,AIRTR,CONST,945.22,87128672314.592,1.0,1.0,87128672314.592,0.0,0.0,0.0,0.0,0.0,87128672314.592,0.0,0.0,0.0,0.0,92178193.769273
5087,2019,WM,WM,ELEC6,TRAN1,303.0,86729521492.241,4.0,2.0,86729517963.788,0.0,3528.453,0.0,0.0,0.0,86729517963.788,0.0,0.0,3528.453,0.0,286236044.528848
295,2019,WM,WM,AIRTR,WHOLE,939.27,86580544718.662,1.0,1.0,86580544718.662,0.0,0.0,0.0,0.0,0.0,86580544718.662,0.0,0.0,0.0,0.0,92178547.934739
4483,2019,WM,WM,ELEC2,PAPER,195.71,86231612286.072,5.0,3.0,86231607354.472,0.0,4916.653,0.0,0.0,14.947,86231607354.472,14.947,0.0,4916.653,0.0,440609127.208993
4969,2019,WM,WM,ELEC6,CONST,300.38,85979304583.427,4.0,2.0,85979301085.495,0.0,3497.931,0.0,0.0,0.0,85979301085.495,0.0,0.0,3497.931,0.0,286235117.462637
4512,2019,WM,WM,ELEC2,SALEM,194.05,85501364111.178,5.0,3.0,85501359221.34,0.0,4875.017,0.0,0.0,14.821,85501359221.34,14.821,0.0,4875.017,0.0,440615120.387416
4472,2019,WM,WM,ELEC2,NONME,191.06,84184568308.967,5.0,3.0,84184563494.437,0.0,4799.937,0.0,0.0,14.593,84184563494.437,14.593,0.0,4799.937,0.0,440618487.95649
4944,2019,WM,WM,ELEC6,ALUM1,293.62,84044123180.521,4.0,2.0,84044119761.319,0.0,3419.202,0.0,0.0,0.0,84044119761.319,0.0,0.0,3419.202,0.0,286234327.295556
4389,2019,WM,WM,ELEC2,BUSIN,174.3,76800676222.446,5.0,3.0,76800671830.202,0.0,4378.931,0.0,0.0,13.313,76800671830.202,13.313,0.0,4378.931,0.0,440623500.989363
10686,2019,WM,WM,MEDIC,EDUCA,443.52,75891967886.533,3.0,2.0,75891965205.347,0.0,2681.186,0.0,0.0,0.0,75891965205.347,0.0,0.0,2681.186,0.0,171112842.45701
5070,2019,WM,WM,ELEC6,RESEA,262.36,75097066465.791,4.0,2.0,75097063410.586,0.0,3055.205,0.0,0.0,0.0,75097063410.586,0.0,0.0,3055.205,0.0,286236722.312056
10682,2019,WM,WM,MEDIC,CRUDE,437.48,74857768952.348,3.0,2.0,74857766307.7,0.0,2644.649,0.0,0.0,0.0,74857766307.7,0.0,0.0,2644.649,0.0,171111294.12167
4422,2019,WM,WM,ELEC2,FABRI,165.39,72872343647.692,5.0,3.0,72872339480.11,0.0,4154.95,0.0,0.0,12.632,72872339480.11,12.632,0.0,4154.95,0.0,440609127.805139
269,2019,WM,WM,AIRTR,RESEA,774.86,71425220769.29,1.0,1.0,71425220769.29,0.0,0.0,0.0,0.0,0.0,71425220769.29,0.0,0.0,0.0,0.0,92178226.736817
11262,2019,WM,WM,NATUR,CRUDE,991.07,71248216096.674,2.0,2.0,70713209826.036,0.0,0.0,0.0,535006270.638,0.0,70713209826.036,0.0,0.0,0.0,0.0,71890195.542872
5065,2019,WM,WM,ELEC6,REALE,248.23,71052160848.801,4.0,2.0,71052157958.157,0.0,2890.644,0.0,0.0,0.0,71052157958.157,0.0,0.0,2890.644,0.0,286235188.529996
4440,2019,WM,WM,ELEC2,HEAVY,157.63,69453418770.761,5.0,3.0,69453414798.708,0.0,3960.014,0.0,0.0,12.039,69453414798.708,12.039,0.0,3960.014,0.0,440610409.000577
4382,2019,WM,WM,ELEC2,BASIC,152.07,67006061982.153,5.0,3.0,67006058150.065,0.0,3820.473,0.0,0.0,11.615,67006058150.065,11.615,0.0,3820.473,0.0,440626435.076958
4423,2019,WM,WM,ELEC2,FINAN,150.65,66376310275.082,5.0,3.0,66376306479.009,0.0,3784.567,0.0,0.0,11.506,66376306479.009,11.506,0.0,3784.567,0.0,440599470.793774
4504,2019,WM,WM,ELEC2,RECRE,148.31,65349015606.895,5.0,3.0,65349011869.573,0.0,3725.994,0.0,0.0,11.328,65349011869.573,11.328,0.0,3725.994,0.0,440624473.109669
11295,2019,WM,WM,NATUR,HYDRO,879.19,63205277022.278,2.0,2.0,62730665566.766,0.0,0.0,0.0,474611455.513,0.0,62730665566.766,0.0,0.0,0.0,0.0,71890350.234054
293,2019,WM,WM,AIRTR,WHEAT,680.87,62761102486.216,1.0,1.0,62761102486.216,0.0,0.0,0.0,0.0,0.0,62761102486.216,0.0,0.0,0.0,0.0,92177805.581412
4502,2019,WM,WM,ELEC2,RAWMI,136.88,60309898702.53,5.0,3.0,60309895253.397,0.0,3438.679,0.0,0.0,10.454,60309895253.397,10.454,0.0,3438.679,0.0,440604169.363895
5071,2019,WM,WM,ELEC6,RETA1,207.05,59265961694.56,4.0,2.0,59265959283.419,0.0,2411.141,0.0,0.0,0.0,59265959283.419,0.0,0.0,2411.141,0.0,286239853.632263
4407,2019,WM,WM,ELEC2,DAIRY,131.38,57889915363.276,5.0,3.0,57889912052.541,0.0,3300.7,0.0,0.0,10.035,57889912052.541,10.035,0.0,3300.7,0.0,440629588.699011
4401,2019,WM,WM,ELEC2,COMPU,131.33,57865136400.428,5.0,3.0,57865133091.11,0.0,3299.287,0.0,0.0,10.03,57865133091.11,10.03,0.0,3299.287,0.0,440608668.24357
4383,2019,WM,WM,ELEC2,BEVER,128.49,56612717416.295,5.0,3.0,56612714178.604,0.0,3227.878,0.0,0.0,9.813,56612714178.604,9.813,0.0,3227.878,0.0,440600182.242159
150,2019,WM,WM,AIRTR,BUSIN,592.62,54626805244.141,1.0,1.0,54626805244.141,0.0,0.0,0.0,0.0,0.0,54626805244.141,0.0,0.0,0.0,0.0,92178470.595223
4412,2019,WM,WM,ELEC2,ELEC2,118.91,52394712436.938,5.0,3.0,52394709440.475,0.0,2987.381,0.0,0.0,9.082,52394709440.475,9.082,0.0,2987.381,0.0,440624946.908906
5002,2019,WM,WM,ELEC6,HEALT,181.63,51988089226.358,4.0,2.0,51988087111.305,0.0,2115.053,0.0,0.0,0.0,51988087111.305,0.0,0.0,2115.053,0.0,286230739.560414
5030,2019,WM,WM,ELEC6,NATUR,181.61,51983298619.048,4.0,2.0,51983296504.19,0.0,2114.858,0.0,0.0,0.0,51983296504.19,0.0,0.0,2114.858,0.0,286235882.490215
4495,2019,WM,WM,ELEC2,PRINT,117.78,51895904697.249,5.0,3.0,51895901729.313,0.0,2958.94,0.0,0.0,8.996,51895901729.313,8.996,0.0,2958.94,0.0,440617292.38622
4424,2019,WM,WM,ELEC2,FISH5,116.46,51312031493.047,5.0,3.0,51312028558.503,0.0,2925.65,0.0,0.0,8.894,51312028558.503,8.894,0.0,2925.65,0.0,440597900.507015
10665,2019,WM,WM,MEDIC,BUSIN,290.09,49638050907.323,3.0,2.0,49638049153.661,0.0,1753.662,0.0,0.0,0.0,49638049153.661,0.0,0.0,1753.662,0.0,171112588.87698
10652,2019,WM,WM,MEDIC,93197,286.77,49068730816.48,3.0,2.0,49068729082.932,0.0,1733.548,0.0,0.0,0.0,49068729082.932,0.0,0.0,1733.548,0.0,171108312.642466
